SeqId,NussinovFolderFolding Tns,
seq_10_0,22218900,
seq_10_1,179800,
seq_10_2,74500,
seq_10_3,84400,
seq_10_4,72300,
seq_10_5,69200,
seq_10_6,62700,
seq_10_7,93100,
seq_10_8,56300,
seq_10_9,65500,
seq_10_10,61400,
seq_10_11,86800,
seq_10_12,501500,
seq_10_13,184400,
seq_10_14,130000,
seq_10_15,112400,
seq_10_16,67000,
seq_10_17,127700,
seq_10_18,130800,
seq_10_19,189100,
seq_10_20,65100,
seq_10_21,61300,
seq_10_22,58100,
seq_10_23,63300,
seq_10_24,71700,
seq_10_25,72200,
seq_10_26,63100,
seq_10_27,66600,
seq_10_28,58200,
seq_10_29,112100,
seq_10_30,72700,
seq_10_31,165400,
seq_10_32,61700,
seq_10_33,52600,
seq_10_34,116100,
seq_10_35,88700,
seq_10_36,41900,
seq_10_37,50400,
seq_10_38,53000,
seq_10_39,91600,
seq_10_40,106900,
seq_10_41,116900,
seq_10_42,75800,
seq_10_43,106900,
seq_10_44,129700,
seq_10_45,176400,
seq_10_46,108500,
seq_10_47,124400,
seq_10_48,116900,
seq_10_49,118800,
seq_10_50,121300,
seq_10_51,96200,
seq_10_52,100900,
seq_10_53,109900,
seq_10_54,97700,
seq_10_55,117200,
seq_10_56,113900,
seq_10_57,43800,
seq_10_58,52400,
seq_10_59,53500,
seq_10_60,51400,
seq_10_61,48700,
seq_10_62,53100,
seq_10_63,116300,
seq_10_64,53600,
seq_10_65,47600,
seq_10_66,57500,
seq_10_67,108600,
seq_10_68,113700,
seq_10_69,109900,
seq_10_70,112400,
seq_10_71,61500,
seq_10_72,49400,
seq_10_73,112200,
seq_10_74,113200,
seq_10_75,100700,
seq_10_76,119800,
seq_10_77,94500,
seq_10_78,107100,
seq_10_79,115300,
seq_10_80,105500,
seq_10_81,99800,
seq_10_82,117900,
seq_10_83,109800,
seq_10_84,105000,
seq_10_85,107700,
seq_10_86,111100,
seq_10_87,93100,
seq_10_88,101300,
seq_10_89,122600,
seq_10_90,104200,
seq_10_91,97900,
seq_10_92,109600,
seq_10_93,107200,
seq_10_94,99600,
seq_10_95,107600,
seq_10_96,112300,
seq_10_97,106700,
seq_10_98,99800,
seq_10_99,99200,
seq_20_0,661300,
seq_20_1,685700,
seq_20_2,633000,
seq_20_3,708600,
seq_20_4,177300,
seq_20_5,146100,
seq_20_6,167100,
seq_20_7,143400,
seq_20_8,142800,
seq_20_9,148200,
seq_20_10,135800,
seq_20_11,131100,
seq_20_12,142300,
seq_20_13,155000,
seq_20_14,151100,
seq_20_15,131500,
seq_20_16,135000,
seq_20_17,146000,
seq_20_18,130200,
seq_20_19,128500,
seq_20_20,133700,
seq_20_21,134100,
seq_20_22,129500,
seq_20_23,125200,
seq_20_24,117800,
seq_20_25,116000,
seq_20_26,144600,
seq_20_27,123700,
seq_20_28,127000,
seq_20_29,128100,
seq_20_30,126500,
seq_20_31,129100,
seq_20_32,142300,
seq_20_33,131200,
seq_20_34,128100,
seq_20_35,133600,
seq_20_36,130800,
seq_20_37,130300,
seq_20_38,127100,
seq_20_39,124800,
seq_20_40,125200,
seq_20_41,124800,
seq_20_42,138400,
seq_20_43,131500,
seq_20_44,147700,
seq_20_45,131100,
seq_20_46,133100,
seq_20_47,129400,
seq_20_48,125900,
seq_20_49,127700,
seq_20_50,132700,
seq_20_51,128300,
seq_20_52,141300,
seq_20_53,130000,
seq_20_54,123800,
seq_20_55,130900,
seq_20_56,150900,
seq_20_57,132700,
seq_20_58,136200,
seq_20_59,129200,
seq_20_60,132900,
seq_20_61,126800,
seq_20_62,143900,
seq_20_63,134000,
seq_20_64,329900,
seq_20_65,144600,
seq_20_66,134000,
seq_20_67,137900,
seq_20_68,129400,
seq_20_69,124600,
seq_20_70,120000,
seq_20_71,176200,
seq_20_72,99600,
seq_20_73,114600,
seq_20_74,124300,
seq_20_75,119600,
seq_20_76,123300,
seq_20_77,128200,
seq_20_78,121800,
seq_20_79,122700,
seq_20_80,112300,
seq_20_81,132200,
seq_20_82,123400,
seq_20_83,108300,
seq_20_84,113800,
seq_20_85,103400,
seq_20_86,95200,
seq_20_87,105500,
seq_20_88,110300,
seq_20_89,109100,
seq_20_90,112000,
seq_20_91,122200,
seq_20_92,122300,
seq_20_93,120700,
seq_20_94,103100,
seq_20_95,527800,
seq_20_96,127300,
seq_20_97,124900,
seq_20_98,231300,
seq_20_99,122500,
seq_30_0,571200,
seq_30_1,573300,
seq_30_2,609100,
seq_30_3,330800,
seq_30_4,621100,
seq_30_5,345200,
seq_30_6,655500,
seq_30_7,439000,
seq_30_8,498600,
seq_30_9,403100,
seq_30_10,714200,
seq_30_11,389100,
seq_30_12,702900,
seq_30_13,394600,
seq_30_14,673400,
seq_30_15,391700,
seq_30_16,700200,
seq_30_17,536400,
seq_30_18,489900,
seq_30_19,384800,
seq_30_20,892000,
seq_30_21,377600,
seq_30_22,492900,
seq_30_23,390800,
seq_30_24,469900,
seq_30_25,3097800,
seq_30_26,705100,
seq_30_27,398700,
seq_30_28,690000,
seq_30_29,387000,
seq_30_30,731100,
seq_30_31,390200,
seq_30_32,661300,
seq_30_33,387500,
seq_30_34,663000,
seq_30_35,389300,
seq_30_36,750400,
seq_30_37,395300,
seq_30_38,704000,
seq_30_39,384700,
seq_30_40,660100,
seq_30_41,378500,
seq_30_42,701200,
seq_30_43,390000,
seq_30_44,652400,
seq_30_45,411200,
seq_30_46,547400,
seq_30_47,368400,
seq_30_48,429300,
seq_30_49,339400,
seq_30_50,938800,
seq_30_51,375200,
seq_30_52,488300,
seq_30_53,449000,
seq_30_54,432300,
seq_30_55,387400,
seq_30_56,433300,
seq_30_57,360000,
seq_30_58,420200,
seq_30_59,380000,
seq_30_60,461800,
seq_30_61,396700,
seq_30_62,473900,
seq_30_63,351700,
seq_30_64,436200,
seq_30_65,374800,
seq_30_66,441300,
seq_30_67,363200,
seq_30_68,405500,
seq_30_69,382800,
seq_30_70,723600,
seq_30_71,392000,
seq_30_72,743400,
seq_30_73,377400,
seq_30_74,691700,
seq_30_75,375000,
seq_30_76,678200,
seq_30_77,384900,
seq_30_78,715300,
seq_30_79,392500,
